source_id,domain,topic,priority,year,title,evidence_type,doi,url,license,license_verified_on,commercial_status,ingest_default,attribution_required,notes
G01,rehabilitation,guidelines,P0,2023,"WHO guideline for non-surgical management of chronic primary low back pain in adults in primary and community care settings",Clinical Practice Guideline,,https://www.who.int/publications/i/item/9789240081789,"CC BY-NC-SA 3.0 IGO",2026-09-10,RESEARCH_ONLY,false,true,"비상업 조건. 상용 RAG 기본 제외"
G02,rehabilitation,guidelines,P0,2023,"WHO Package of interventions for rehabilitation: Module 2 Musculoskeletal conditions",Guideline / Intervention Package,,https://www.who.int/publications/i/item/9789240071100,"CC BY-NC-SA 3.0 IGO",2026-09-10,RESEARCH_ONLY,false,true,"비상업 조건. 상용 RAG 기본 제외"
G03,rehabilitation,guidelines,P0,2023,"WHO PIR Module 2 Web Annex: literature reviews and evidence tables",Evidence Tables,,https://www.who.int/publications/i/item/9789240071124,"CC BY-NC-SA 3.0 IGO",2026-09-10,RESEARCH_ONLY,false,true,"근거표. 비상업 조건"
N01,rehabilitation,neck-posture,P0,2023,"Treatment of Chronic Neck Pain in Patients with Forward Head Posture: A Systematic Narrative Review",Systematic Narrative Review,10.3390/healthcare11192604,https://pmc.ncbi.nlm.nih.gov/articles/PMC10572307/,"CC BY 4.0",2026-09-10,ALLOW_WITH_ATTRIBUTION,true,true,"전방머리자세와 만성 목통증 중재. 인과 단정 금지"
N02,rehabilitation,neck-posture,P0,2019,"The Relationship Between Forward Head Posture and Neck Pain: a Systematic Review and Meta-Analysis",Systematic Review / Meta-analysis,10.1007/s12178-019-09594-y,https://pmc.ncbi.nlm.nih.gov/articles/PMC6942109/,"PMC full text - reuse terms not reverified",,REVIEW_REQUIRED,false,true,"자세-통증 관계의 과도한 단정 방지에 중요"
N03,rehabilitation,neck-posture,P1,2025,"The Effects of Rehabilitation Programs Incorporating Breathing Interventions on Chronic Neck Pain Among Patients with Forward Head Posture",Systematic Review / Meta-analysis,10.3390/bioengineering12090947,https://pmc.ncbi.nlm.nih.gov/articles/PMC12467365/,"CC BY 4.0",2026-09-10,ALLOW_WITH_ATTRIBUTION,true,true,"근거 확실성 very low를 함께 보존"
N04,rehabilitation,neck-posture,P1,2024,"The influence of exercise on pain, disability and quality of life in office workers with chronic neck pain",Systematic Review / Meta-analysis,10.1016/j.apergo.2023.104216,https://www.sciencedirect.com/science/article/pii/S0003687023002545,"Open Access - publisher terms not reverified",,REVIEW_REQUIRED,false,true,"사무직 목통증 운동 근거"
N05,rehabilitation,neck-posture,P1,2025,"Effectiveness of the pilates method in patients with chronic neck pain: a systematic review with meta-analysis",Systematic Review / Meta-analysis,10.1186/s12891-025-08888-2,https://link.springer.com/article/10.1186/s12891-025-08888-2,"CC BY-NC-ND 4.0",2026-09-10,RESEARCH_ONLY,false,true,"비상업/변경금지 조건. 상용 코퍼스 제외"
S01,rehabilitation,shoulder,P0,2025,"Rotator Cuff Tendinopathy Diagnosis, Nonsurgical Medical Care, and Rehabilitation: A Clinical Practice Guideline",Clinical Practice Guideline,10.2519/jospt.2025.13182,https://www.jospt.org/doi/10.2519/jospt.2025.13182,"Full access - reuse terms not reverified",,REVIEW_REQUIRED,false,true,"회전근개건병증 평가·재활 권고"
S02,rehabilitation,shoulder,P0,2024,"Shoulder specific exercise therapy is effective in reducing chronic shoulder pain: A network meta-analysis",Network Meta-analysis,10.1371/journal.pone.0294014,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0294014,"CC BY",2026-09-10,ALLOW_WITH_ATTRIBUTION,true,true,"근거 확실성 범위를 함께 반영"
E01,patient-education,musculoskeletal-pain,P0,2026,"Patient education for chronic musculoskeletal pain: a scoping review of recommendations, effectiveness, and educational content",Scoping Review,10.1186/s12998-025-00614-y,https://link.springer.com/article/10.1186/s12998-025-00614-y,"CC BY 4.0",2026-09-10,ALLOW_WITH_ATTRIBUTION,true,true,"환자교육·개인화·콘텐츠 설계 핵심"
E02,patient-education,behaviour-change,P1,2025,"Physical therapist-delivered motivational interviewing and health-related behaviour change",Systematic Review / Meta-analysis,10.1016/j.bjpt.2024.101168,https://pmc.ncbi.nlm.nih.gov/articles/PMC11751405/,"CC BY 4.0",2026-09-10,ALLOW_WITH_ATTRIBUTION,true,true,"동기강화면담 효과를 과장하지 않을 것"
E03,patient-education,health-literacy,P2,2013,"Effectiveness of Musculoskeletal Education Interventions in People With Low Literacy Levels",Systematic Review,10.1002/acr.22085,https://pmc.ncbi.nlm.nih.gov/articles/PMC4298758/,"PMC full text - reuse terms not reverified",,REVIEW_REQUIRED,false,true,"쉬운 설명·건강문해력 설계 참고"
P01,pain-science,chronic-musculoskeletal-pain,P0,2023,"Pain neuroscience education in patients with chronic musculoskeletal pain: an umbrella review",Umbrella Review,10.3389/fnins.2023.1272068,https://pmc.ncbi.nlm.nih.gov/articles/PMC10704151/,"CC BY",2026-09-10,ALLOW_WITH_ATTRIBUTION,true,true,"PNE 단독 만능치료 표현 금지"
P02,pain-science,central-sensitization,P0,2023,"Effectiveness of Pain Neuroscience Education in Patients with Chronic Musculoskeletal Pain and Central Sensitization",Systematic Review,10.3390/ijerph20054098,https://pmc.ncbi.nlm.nih.gov/articles/PMC10001851/,"CC BY 4.0",2026-09-10,ALLOW_WITH_ATTRIBUTION,true,true,"중추감작 관련 설명은 진단 단정 금지"
P03,pain-science,multimodal-treatment,P1,2024,"The effectiveness of a combined exercise and psychological treatment programme on measures of nervous system sensitisation in adults with chronic musculoskeletal pain",Systematic Review / Meta-analysis,10.1186/s12891-024-07274-8,https://link.springer.com/article/10.1186/s12891-024-07274-8,"Open Access - reuse terms not reverified",,REVIEW_REQUIRED,false,true,"복합 중재 설명용"
W01,rehabilitation,workplace-exercise,P1,2022,"Effectiveness of workplace exercise interventions in the treatment of musculoskeletal disorders in office workers",Systematic Review,10.1136/bmjopen-2021-054288,https://bmjopen.bmj.com/content/12/1/e054288,"Open Access - reuse terms not reverified",,REVIEW_REQUIRED,false,true,"사무직 목·어깨·허리 운동 프로그램"
